Date,open,high,low,close,volume,openinterest
2020-10-15,61.03842014517164,61.03842014517164,61.03842014517164,61.03842014517164,132708244.77914505,0
2020-10-16,61.03842014517164,61.03842014517164,61.03842014517164,61.03842014517164,132708244.77914505,0
2020-10-17,44.77615101873951,44.77615101873951,44.77615101873951,44.77615101873951,274288780.331303,0
2020-10-18,42.37271342853077,42.37271342853077,42.37271342853077,42.37271342853077,98808556.85966851,0
2020-10-19,32.71113233658529,32.71113233658529,32.71113233658529,32.71113233658529,76475484.52474798,0
2020-10-20,33.8709208971172,33.8709208971172,33.8709208971172,33.8709208971172,137021232.89625403,0
2020-10-21,31.13609652657138,31.13609652657138,31.13609652657138,31.13609652657138,53539364.97384532,0
2020-10-22,26.805785916433425,26.805785916433425,26.805785916433425,26.805785916433425,78677831.46504025,0
2020-10-23,23.726553001137823,23.726553001137823,23.726553001137823,23.726553001137823,82368454.65617654,0
2020-10-24,24.698251881253096,24.698251881253096,24.698251881253096,24.698251881253096,94966073.05700068,0
2020-10-25,25.715797622859426,25.715797622859426,25.715797622859426,25.715797622859426,94324623.15035972,0
2020-10-26,38.95813731766341,38.95813731766341,38.95813731766341,38.95813731766341,256373180.47346583,0
2020-10-27,33.62610370159718,33.62610370159718,33.62610370159718,33.62610370159718,177735936.92606768,0
2020-10-28,35.23708314972304,35.23708314972304,35.23708314972304,35.23708314972304,112150052.77565424,0
2020-10-29,33.669868892285315,33.669868892285315,33.669868892285315,33.669868892285315,94647071.15054014,0
2020-10-30,32.56480146503134,32.56480146503134,32.56480146503134,32.56480146503134,69548217.67366283,0
2020-10-31,29.23454574803566,29.23454574803566,29.23454574803566,29.23454574803566,92361898.02342685,0
2020-11-01,31.068181236508316,31.068181236508316,31.068181236508316,31.068181236508316,79127391.34417841,0
2020-11-02,31.592495101346778,31.592495101346778,31.592495101346778,31.592495101346778,45473460.97051176,0
2020-11-03,29.72111722170825,29.72111722170825,29.72111722170825,29.72111722170825,69556469.16962257,0
2020-11-04,28.863213090978785,28.863213090978785,28.863213090978785,28.863213090978785,53061021.01122654,0
2020-11-05,28.89940702403186,28.89940702403186,28.89940702403186,28.89940702403186,51858223.52657145,0
2020-11-06,29.43749673123257,29.43749673123257,29.43749673123257,29.43749673123257,53073486.40389357,0
2020-11-07,31.67873056481789,31.67873056481789,31.67873056481789,31.67873056481789,114784886.49214192,0
2020-11-08,29.92173183428666,29.92173183428666,29.92173183428666,29.92173183428666,117187621.01006325,0
2020-11-09,30.714377624545733,30.714377624545733,30.714377624545733,30.714377624545733,43569925.030961335,0
2020-11-10,31.27614564306925,31.27614564306925,31.27614564306925,31.27614564306925,70589681.3466677,0
2020-11-11,30.355539393303946,30.355539393303946,30.355539393303946,30.355539393303946,77788935.21881078,0
2020-11-12,30.074590872459012,30.074590872459012,30.074590872459012,30.074590872459012,63350376.68472261,0
2020-11-13,29.501387631396128,29.501387631396128,29.501387631396128,29.501387631396128,64632402.47458432,0
2020-11-14,29.18348938011425,29.18348938011425,29.18348938011425,29.18348938011425,46374964.61487351,0
2020-11-15,29.30824108353713,29.30824108353713,29.30824108353713,29.30824108353713,46656076.5521233,0
2020-11-16,27.75459697519261,27.75459697519261,27.75459697519261,27.75459697519261,64355871.76105965,0
2020-11-17,27.474158502461556,27.474158502461556,27.474158502461556,27.474158502461556,66990195.44150138,0
2020-11-18,29.046635911004422,29.046635911004422,29.046635911004422,29.046635911004422,98404410.9168624,0
2020-11-19,28.884041127283854,28.884041127283854,28.884041127283854,28.884041127283854,76981354.93860403,0
2020-11-20,28.83641829494548,28.83641829494548,28.83641829494548,28.83641829494548,44549185.46211414,0
2020-11-21,29.03297941534771,29.03297941534771,29.03297941534771,29.03297941534771,66565828.96830781,0
2020-11-22,29.83538546337033,29.83538546337033,29.83538546337033,29.83538546337033,109827003.611973,0
2020-11-23,28.97455195566526,28.97455195566526,28.97455195566526,28.97455195566526,74525001.3501965,0
2020-11-24,29.152495615482497,29.152495615482497,29.152495615482497,29.152495615482497,64478008.08559004,0
2020-11-25,29.69480828811275,29.69480828811275,29.69480828811275,29.69480828811275,119023651.0218042,0
2020-11-26,31.07648322699985,31.07648322699985,31.07648322699985,31.07648322699985,246696676.84408388,0
2020-11-27,29.85999550589436,29.85999550589436,29.85999550589436,29.85999550589436,176400314.3852683,0
2020-11-28,29.956028039749974,29.956028039749974,29.956028039749974,29.956028039749974,71663334.72888185,0
2020-11-29,29.92724371697021,29.92724371697021,29.92724371697021,29.92724371697021,52092461.75053196,0
2020-11-30,29.965749227603197,29.965749227603197,29.965749227603197,29.965749227603197,41468964.75579041,0
2020-12-01,30.29109280671896,30.29109280671896,30.29109280671896,30.29109280671896,80327102.26846689,0
2020-12-02,30.22263361850741,30.22263361850741,30.22263361850741,30.22263361850741,105841737.79278883,0
2020-12-03,30.638930347497727,30.638930347497727,30.638930347497727,30.638930347497727,69844238.14378643,0
2020-12-04,30.45112380705019,30.45112380705019,30.45112380705019,30.45112380705019,58750507.88848269,0
2020-12-05,29.105538607487997,29.105538607487997,29.105538607487997,29.105538607487997,75895542.16327609,0
2020-12-06,29.87712017419013,29.87712017419013,29.87712017419013,29.87712017419013,47680577.81577241,0
2020-12-07,29.306209693910493,29.306209693910493,29.306209693910493,29.306209693910493,49225331.17725182,0
2020-12-08,30.535994423804752,30.535994423804752,30.535994423804752,30.535994423804752,147780373.59187344,0
2020-12-09,29.964229165044685,29.964229165044685,29.964229165044685,29.964229165044685,111523277.94696948,0
2020-12-10,30.496371093809252,30.496371093809252,30.496371093809252,30.496371093809252,176605247.7615105,0
2020-12-11,30.57751840106113,30.57751840106113,30.57751840106113,30.57751840106113,199008674.94860765,0
2020-12-12,29.91535629629321,29.91535629629321,29.91535629629321,29.91535629629321,154565320.19918707,0
2020-12-13,30.024411947221175,30.024411947221175,30.024411947221175,30.024411947221175,80109565.12199341,0
2020-12-14,30.079610224401627,30.079610224401627,30.079610224401627,30.079610224401627,75097275.78166607,0
2020-12-15,29.377855357033162,29.377855357033162,29.377855357033162,29.377855357033162,94322817.1919142,0
2020-12-16,29.141461175451354,29.141461175451354,29.141461175451354,29.141461175451354,100309846.01202284,0
2020-12-17,28.474725572619462,28.474725572619462,28.474725572619462,28.474725572619462,146855150.16733792,0
2020-12-18,28.434668765431876,28.434668765431876,28.434668765431876,28.434668765431876,154310089.44720033,0
2020-12-19,28.482447577977144,28.482447577977144,28.482447577977144,28.482447577977144,83877190.71861382,0
2020-12-20,28.28646354859127,28.28646354859127,28.28646354859127,28.28646354859127,100393244.21757032,0
2020-12-21,28.425579402798967,28.425579402798967,28.425579402798967,28.425579402798967,77355912.35110064,0
2020-12-22,25.12541700786485,25.12541700786485,25.12541700786485,25.12541700786485,189143189.4605951,0
2020-12-23,24.65938330963582,24.65938330963582,24.65938330963582,24.65938330963582,208100019.62737167,0
2020-12-24,22.393877730770093,22.393877730770093,22.393877730770093,22.393877730770093,153502569.82116878,0
2020-12-25,23.711485929216284,23.711485929216284,23.711485929216284,23.711485929216284,110589136.64800124,0
2020-12-26,24.19868044306187,24.19868044306187,24.19868044306187,24.19868044306187,128403111.3761988,0
2020-12-27,23.60731416624901,23.60731416624901,23.60731416624901,23.60731416624901,53592093.62123639,0
2020-12-28,22.26786214815625,22.26786214815625,22.26786214815625,22.26786214815625,90932583.26916578,0
