Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,60.270000,60.740002,60.080002,60.520000,60.029572,6251600
2020-10-16,60.709999,61.110001,60.259998,60.290001,59.801434,6070800
2020-10-19,60.389999,60.750000,59.389999,59.619999,59.136864,8311000
2020-10-20,59.919998,60.330002,59.630001,59.750000,59.265812,9241200
2020-10-21,59.340000,60.119999,59.220001,59.669998,59.186459,10114900
2020-10-22,59.439999,59.869999,58.689999,59.689999,59.206295,11900600
2020-10-23,59.900002,60.160000,59.709999,59.900002,59.414597,9739300
2020-10-26,58.099998,58.480000,56.529999,57.490002,57.024124,18876900
2020-10-27,57.639999,57.980000,57.020000,57.080002,56.617451,10806500
2020-10-28,56.270000,56.599998,55.529999,55.590000,55.139523,13910600
2020-10-29,55.200001,56.759998,55.139999,56.020000,55.566036,13573700
2020-10-30,55.750000,56.639999,55.450001,56.110001,55.655308,12602300
2020-11-02,56.439999,57.470001,56.119999,56.450001,55.992554,11413200
2020-11-03,57.000000,57.500000,56.570000,56.799999,56.339718,8911200
2020-11-04,58.000000,58.090000,56.349998,56.490002,56.032230,12054900
2020-11-05,57.459999,57.650002,56.419998,56.660000,56.200851,9017100
2020-11-06,56.770000,56.980000,56.150002,56.799999,56.339718,7510400
2020-11-09,58.189999,59.080002,56.770000,56.840000,56.379395,11486600
2020-11-10,56.910000,57.240002,56.200001,56.669998,56.210770,9015900
2020-11-11,57.060001,57.630001,56.799999,57.200001,56.736477,7724400
2020-11-12,57.259998,57.490002,56.099998,56.450001,55.992554,7324000
2020-11-13,56.880001,57.090000,56.549999,56.910000,56.448826,5870300
2020-11-16,57.020000,57.610001,56.880001,57.150002,56.686882,6309200
2020-11-17,57.000000,57.389999,56.810001,57.119999,56.657124,5569700
2020-11-18,57.119999,57.290001,56.240002,56.250000,55.794170,8998800
2020-11-19,56.090000,56.480000,55.560001,56.450001,55.992554,9643100
2020-11-20,56.360001,56.439999,55.680000,55.700001,55.248631,8395800
2020-11-23,55.849998,56.570000,55.770000,56.080002,55.625553,8235900
2020-11-24,56.599998,57.900002,56.360001,57.570000,57.103474,10427200
2020-11-25,57.720001,57.759998,57.259998,57.410000,56.944771,6848900
2020-11-27,57.400002,57.869999,57.150002,57.759998,57.291939,5627000
2020-11-30,57.610001,58.200001,57.200001,57.720001,57.252262,26676900
2020-12-01,58.200001,59.279999,58.009998,58.740002,58.263996,11856000
2020-12-02,58.290001,59.270000,58.139999,59.080002,58.601242,9330400
2020-12-03,59.220001,59.980000,59.060001,59.270000,58.789703,9783900
2020-12-04,59.310001,60.549999,59.270000,59.959999,59.474110,10872700
2020-12-07,59.959999,60.200001,59.630001,59.799999,59.315407,14922900
2020-12-08,58.990002,59.709999,58.220001,59.029999,58.551643,15237800
2020-12-09,58.889999,59.910000,58.799999,59.730000,59.245972,12204100
2020-12-10,59.509998,59.810001,59.040001,59.480000,58.998001,14219900
2020-12-11,60.939999,61.000000,59.419998,60.610001,60.118843,16209900
2020-12-14,60.830002,61.660000,60.689999,60.759998,60.267628,16193600
2020-12-15,61.090000,62.189999,60.900002,61.860001,61.358711,15510300
2020-12-16,61.869999,63.189999,61.849998,62.779999,62.271255,16119900
2020-12-17,62.990002,64.050003,62.730000,63.610001,63.094532,15320500
2020-12-18,63.480000,65.330002,63.430000,65.059998,64.532776,33728700
2020-12-21,63.889999,65.190002,63.880001,64.480003,63.957485,18210200
2020-12-22,64.559998,66.000000,64.430000,65.150002,64.622047,17136000
2020-12-23,65.260002,66.199997,65.150002,65.300003,64.770836,13075200
2020-12-24,65.050003,65.589996,64.779999,64.959999,64.433586,3796500
2020-12-28,65.410004,65.690002,64.750000,64.870003,64.344322,6463500
2020-12-29,65.250000,65.269997,64.220001,64.459999,63.937641,7770200
2020-12-30,64.800003,64.910004,64.349998,64.400002,63.878132,6192000
2020-12-31,64.339996,64.769997,64.010002,64.690002,64.165779,6928600
2021-01-04,64.690002,64.699997,63.169998,63.750000,63.233398,11249900
2021-01-05,63.680000,63.790001,62.480000,62.959999,62.449799,11005700
2021-01-06,62.270000,63.349998,61.910000,62.570000,62.300446,8685400
2021-01-07,62.849998,63.740002,62.849998,63.070000,62.798290,7382800
2021-01-08,63.180000,63.540001,62.910000,63.380001,63.106956,7751700
2021-01-11,62.950001,63.570000,62.840000,63.029999,62.758461,6286600
