Date,Open,High,Low,Close,Adj Close,Volume
2020-12-17,145.000000,148.399994,144.630005,148.100006,148.100006,1336800
2020-12-18,148.509995,149.320007,137.559998,140.139999,140.139999,4510100
2020-12-21,137.600006,143.600006,136.270004,142.229996,142.229996,1685700
2020-12-22,142.740005,142.940002,140.509995,140.539993,140.539993,896800
2020-12-23,140.720001,144.130005,140.720001,142.080002,142.080002,940600
2020-12-24,141.690002,143.059998,141.160004,142.899994,142.899994,346100
2020-12-28,143.869995,143.889999,141.169998,141.910004,141.910004,666600
2020-12-29,142.979996,143.770004,139.039993,139.419998,139.419998,731200
2020-12-30,139.809998,140.740005,138.009995,138.050003,138.050003,957900
2020-12-31,138.279999,141.029999,137.559998,140.259995,140.259995,985700
2021-01-04,139.440002,140.229996,135.889999,138.679993,138.679993,1010000
2021-01-05,138.690002,140.100006,137.699997,139.789993,139.789993,774900
2021-01-06,138.610001,141.960007,138.320007,139.389999,139.389999,942300
2021-01-07,139.270004,144.190002,139.009995,144.050003,144.050003,1099900
2021-01-08,143.179993,145.050003,140.899994,142.860001,142.860001,1450200
2021-01-11,140.770004,142.750000,139.059998,141.500000,141.500000,1152100
2021-01-12,141.240005,144.869995,140.559998,142.910004,142.910004,1040300
2021-01-13,136.000000,137.720001,131.610001,133.199997,133.199997,7103900
2021-01-14,131.550003,136.570007,131.509995,135.550003,135.550003,3351300
2021-01-15,135.910004,137.479996,134.070007,134.809998,134.809998,2393100
2021-01-19,135.919998,135.919998,132.169998,132.300003,132.300003,2227100
2021-01-20,133.250000,134.149994,131.750000,132.669998,132.669998,2906100
2021-01-21,131.250000,134.929993,130.500000,134.089996,134.089996,2859100
2021-01-22,133.059998,135.169998,131.309998,134.500000,134.500000,1592000
2021-01-25,135.009995,136.910004,132.550003,136.279999,136.279999,1585000
2021-01-26,137.330002,141.440002,135.110001,140.580002,140.580002,1730200
2021-01-27,139.000000,146.979996,138.449997,145.460007,145.460007,3451100
2021-01-28,145.179993,146.800003,138.789993,140.289993,140.289993,2678300
2021-01-29,140.580002,142.770004,137.309998,137.850006,137.850006,1471800
2021-02-01,138.350006,139.809998,136.449997,137.669998,137.669998,1382800
2021-02-02,142.000000,143.949997,141.199997,142.720001,142.720001,2016500
2021-02-03,143.199997,145.110001,142.070007,142.339996,142.339996,1203300
2021-02-04,143.389999,146.000000,142.559998,144.679993,144.679993,872300
2021-02-05,146.000000,146.639999,144.839996,145.720001,145.720001,920800
2021-02-08,146.020004,148.729996,146.009995,146.800003,146.800003,865700
2021-02-09,146.089996,148.600006,146.070007,147.660004,147.660004,866100
2021-02-10,147.500000,148.369995,144.800003,146.509995,146.509995,1134200
2021-02-11,144.490005,145.399994,142.050003,143.000000,143.000000,1493100
2021-02-12,141.929993,145.589996,141.500000,145.130005,145.130005,868800
2021-02-16,146.509995,147.029999,141.869995,143.190002,143.190002,844700
2021-02-17,142.350006,142.649994,140.009995,141.309998,141.309998,1163900
2021-02-18,141.300003,143.399994,139.389999,142.490005,142.490005,1069200
2021-02-19,142.940002,144.809998,141.809998,144.679993,144.679993,890700
2021-02-22,143.910004,147.130005,142.539993,143.869995,143.869995,1148800
2021-02-23,142.970001,144.220001,139.610001,144.179993,144.179993,1143500
2021-02-24,144.300003,147.399994,143.979996,146.759995,146.759995,1050700
2021-02-25,146.320007,147.500000,142.690002,143.529999,143.529999,1780200
2021-02-26,141.500000,144.240005,137.919998,138.210007,138.210007,2187700
2021-03-01,138.509995,143.580002,138.119995,140.410004,140.410004,1664400
2021-03-02,140.990005,141.139999,138.860001,139.240005,139.240005,966900
2021-03-03,139.000000,139.889999,137.710007,139.070007,139.070007,918900
2021-03-04,138.539993,140.169998,135.850006,139.070007,139.070007,1490500
2021-03-05,140.000000,144.080002,138.580002,143.889999,143.889999,1569600
2021-03-08,143.669998,147.990005,143.169998,143.630005,143.630005,1413500
2021-03-09,145.380005,147.740005,144.119995,144.380005,144.380005,1069800
2021-03-10,145.529999,146.479996,143.369995,145.839996,145.839996,1006200
2021-03-11,148.000000,149.169998,146.779999,147.539993,147.539993,1070900
2021-03-12,147.199997,148.380005,145.699997,148.160004,148.160004,871400
2021-03-15,148.160004,149.449997,147.289993,149.429993,149.429993,883500
2021-03-16,149.089996,150.509995,147.190002,147.850006,147.850006,1040400
2021-03-17,147.520004,150.740005,146.919998,149.850006,149.850006,844000
2021-03-18,148.479996,149.800003,146.440002,146.919998,146.919998,1039800
2021-03-19,147.000000,148.630005,145.699997,145.979996,145.979996,1677600
2021-03-22,145.279999,147.289993,145.199997,146.000000,146.000000,890600
2021-03-23,146.550003,147.190002,144.279999,144.710007,144.710007,807600
2021-03-24,144.970001,146.529999,144.449997,144.539993,144.539993,912000
2021-03-25,143.110001,146.630005,142.740005,146.589996,146.589996,1170700
2021-03-26,147.160004,154.000000,146.839996,153.940002,153.940002,1655900
2021-03-29,153.000000,156.600006,151.490005,154.610001,154.610001,1482200
2021-03-30,154.059998,155.229996,149.820007,150.190002,150.190002,1036200
2021-03-31,150.839996,151.690002,149.039993,150.449997,150.449997,833400
2021-04-01,152.270004,152.740005,150.830002,152.399994,152.399994,732400
2021-04-05,151.789993,154.110001,151.009995,152.449997,152.449997,825100
2021-04-06,152.009995,152.399994,150.179993,150.720001,150.720001,955900
2021-04-07,151.000000,156.250000,151.000000,153.570007,153.570007,922500
2021-04-08,153.539993,154.000000,150.270004,152.559998,152.559998,694200
2021-04-09,152.559998,154.279999,152.009995,154.000000,154.000000,517700
2021-04-12,154.199997,155.970001,153.259995,154.720001,154.720001,624300
2021-04-13,155.000000,156.000000,153.869995,154.399994,154.399994,708800
2021-04-14,154.770004,157.580002,154.350006,155.490005,155.490005,956900
2021-04-15,156.789993,162.889999,153.610001,160.080002,160.080002,3756800
2021-04-16,160.500000,165.080002,160.000000,164.100006,164.100006,2321900
2021-04-19,164.000000,172.000000,163.960007,170.029999,170.029999,2574900
2021-04-20,169.679993,169.729996,165.300003,165.880005,165.880005,1510900
2021-04-21,165.869995,167.899994,165.669998,165.990005,165.990005,1032700
2021-04-22,165.000000,166.119995,163.029999,164.529999,164.529999,1180800
2021-04-23,164.070007,167.309998,163.539993,165.740005,165.740005,922800
2021-04-26,166.220001,166.550003,161.759995,161.820007,161.820007,883900
